Marchio;Nome;Prezzo;Valutazione;Colore
Geox;D Iridea A, Moccasin Donna;29,75;3,8;Nero
Geox;D New Annya Mid A, Scarpe Donna;81,89;4,3;Nero
Geox;D Charlene B, Ballerine Donna;81,89;4,2;Nero
Lumberjack;Helena, Scarpe da Ginnastica Donna;50,44;4,1;Nero
Geox;D Iridea D04hrc054, Stivali Donna;56,36;4,2;Nero
Geox;Donna D Damiana G Stivaletti;56,36;4,4;Nero
Lumberjack;Finster, Scarpe con Lacci Donna;23,85;4,5;Nero
Geox;D Iridea F, Stivaletti Donna;40,81;4,4;Nero
Geox;D Iridea D16hrc000, Stivali Donna;122,87;4,4;Nero
Clarks;261680184, Scarpe da Ginnastica Donna;122,87;4,3;Nero
Geox;D Alleniee A, Scarpe da Ginnastica Donna;34,6;4,2;Nero
Clarks;Freckle Ice, Ballerine Donna;45,92;4,6;Nero
Clarks;Couture Bloom, Mocassini Donna;45,92;3,9;Nero
Geox;D Hoara C, Stivale alla Caviglia Donna;48,5;4,6;Nero
Clarks;Kataleyna Step, Pompa Donna;67,26;4,3;Nero
Clarks;Freva85 Bar, Pompa Donna;67,26;3,9;Nero
Geox;D Serilda E, Oxford Donna;56,8;4,3;Nero
Clarks;Kataleyna Gem Pump Donna;83,27;4,3;Nero
Geox;D Sukie A, Sneakers Donna;83,27;4,5;Nero
Geox;D Blomiee E, Scarpe da Ginnastica Donna;43,95;4,8;Nero
Geox;D Blomiee F, Scarpe da Ginnastica Donna;49,44;4,5;Nero
Geox;D Damiana E, Stivaletti Donna;49,44;4,2;Nero
Geox;D New Kency A, Scarpe da Ginnastica Donna;63,2;4,6;Nero
Lumberjack;Agatha, Scarpe da Ginnastica Donna;89,9;4,2;Nero
Geox;D Ilde A, Scarpe da Ginnastica Donna;89,9;4,4;Nero
Geox;D Iridea B, Stivaletti Donna;42,89;4,4;Nero
Clarks;Hamble Oak, Scarpe Donna;73,77;4,8;Nero
Clarks;Orinoco2 Limit, Oxford Donna;73,77;4,5;Nero
Clarks;Havisham Oak, Scarpa Mary Jane Donna;52,57;4,7;Nero
Clarks;Funny Dream Derby, Scarpe Donna, Taglia Unica;69,95;3,9;Nero
Lumberjack;Agatha, Scarpe da Ginnastica Donna;69,95;4,3;Nero
Lumberjack;Finster, Scarpe da Ginnastica Donna;44,56;4,5;Nero
Clarks;Adriel Viola, Scarpe con Tacco Donna;66,03;5;Nero
Timberland;Linden Woods WP 6 inch, Stivali alla Moda Donna;79,95;4,2;Nero
Lumberjack;Sneakers Donna SW78211-002;79,95;4,3;Nero
Geox;D Felicity F, Stivali da Equitazione Donna;79,08;3,7;Nero
Geox;D Felicity D, Stivali Donna;99,95;4;Nero
Geox;D Eleana J, Scarpe Donna;99,95;3,9;Nero
Geox;D Giselda C, Pompa Donna;76,82;3;Nero
Geox;D Alleniee C, Scarpe da Ginnastica Donna;109,9;4,4;Nero
Geox;D Blomiee G, Scarpe da Ginnastica Donna;109,9;1;Nero
Geox;D Annytah Moc A, Mocassini Donna;66,58;4,6;Nero
Geox;D Activart A, Scarpe da Ginnastica Donna;79,95;4,2;Nero
Geox;D Blomiee I, Scarpe da Ginnastica Donna;79,95;4,2;Nero
Geox;D Felleny F, Stivale alla Caviglia Donna;46,7;5;Nero
Lumberjack;Finster, Scarpe con Lacci Donna;62,54;4;Nero
Clarks;Havisham Oak, Scarpa Mary Jane Donna;27,01;4,5;Nero
Geox;D Blomiee D, Scarpe da Ginnastica Donna;71,26;4;Nero
Geox;D Blomiee E, Scarpe da Ginnastica Donna;99,9;3,9;Nero
Clarks;Taylor Shine, Stivali Donna;99,9;4,4;Nero
